class,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22
hello,0.555,0.292,-0.245,0.691,0.408,-0.004,0.485,0.407,-0.015,0.811,0.555,-0.267,0.388,0.584,-0.336,0.773,0.379,-0.574,0.423,0.409,-0.774,0.766,0.335,-0.635,0.429,0.366,-0.854,0.748,0.325,-0.581,0.443,0.35,-0.81,0.743,0.338,-0.568
hello,0.555,0.291,-0.248,0.692,0.408,-0.006,0.487,0.406,-0.007,0.811,0.557,-0.262,0.389,0.584,-0.324,0.772,0.383,-0.554,0.424,0.405,-0.751,0.766,0.339,-0.613,0.43,0.364,-0.829,0.748,0.327,-0.577,0.443,0.348,-0.79,0.743,0.34,-0.546
hello,0.557,0.291,-0.246,0.696,0.41,-0.008,0.488,0.407,-0.003,0.808,0.576,-0.256,0.392,0.588,-0.31,0.777,0.416,-0.597,0.426,0.436,-0.745,0.772,0.383,-0.665,0.431,0.401,-0.823,0.755,0.363,-0.634,0.445,0.383,-0.788,0.75,0.376,-0.593
hello,0.558,0.29,-0.243,0.699,0.41,-0.01,0.487,0.41,-0.005,0.807,0.581,-0.254,0.393,0.59,-0.296,0.775,0.432,-0.618,0.425,0.454,-0.738,0.773,0.406,-0.69,0.433,0.422,-0.818,0.757,0.388,-0.664,0.448,0.405,-0.783,0.751,0.398,-0.617
hello,0.56,0.29,-0.234,0.699,0.411,-0.004,0.487,0.412,-0.005,0.807,0.578,-0.246,0.388,0.574,-0.293,0.778,0.459,-0.617,0.424,0.464,-0.734,0.779,0.43,-0.692,0.433,0.423,-0.812,0.76,0.408,-0.673,0.45,0.406,-0.781,0.753,0.419,-0.618
hello,0.56,0.289,-0.206,0.699,0.411,-0.003,0.487,0.412,-0.011,0.8,0.569,-0.222,0.388,0.55,-0.296,0.778,0.494,-0.594,0.42,0.489,-0.727,0.783,0.482,-0.672,0.421,0.471,-0.798,0.76,0.459,-0.644,0.444,0.453,-0.781,0.751,0.465,-0.613
hello,0.561,0.289,-0.198,0.699,0.414,0.007,0.487,0.413,-0.008,0.776,0.562,-0.213,0.423,0.551,-0.296,0.784,0.599,-0.648,0.42,0.587,-0.777,0.797,0.642,-0.753,0.405,0.617,-0.869,0.771,0.63,-0.784,0.438,0.608,-0.887,0.757,0.617,-0.673
hello,0.561,0.29,-0.206,0.699,0.417,-0.002,0.487,0.414,0.004,0.765,0.56,-0.181,0.436,0.558,-0.24,0.784,0.624,-0.618,0.42,0.62,-0.734,0.801,0.675,-0.708,0.401,0.651,-0.852,0.776,0.665,-0.741,0.43,0.641,-0.848,0.76,0.652,-0.631
hello,0.562,0.29,-0.211,0.7,0.419,-0.003,0.487,0.416,0.002,0.761,0.56,-0.159,0.44,0.561,-0.239,0.783,0.638,-0.604,0.42,0.628,-0.725,0.799,0.686,-0.69,0.397,0.658,-0.842,0.774,0.674,-0.723,0.427,0.65,-0.845,0.759,0.662,-0.614
hello,0.563,0.29,-0.204,0.701,0.419,-0.004,0.487,0.416,0.017,0.76,0.558,-0.169,0.439,0.559,-0.224,0.782,0.627,-0.642,0.42,0.62,-0.684,0.796,0.676,-0.749,0.401,0.652,-0.784,0.771,0.666,-0.787,0.429,0.643,-0.818,0.756,0.653,-0.666
hello,0.563,0.29,-0.207,0.701,0.419,-0.003,0.487,0.416,0.011,0.761,0.554,-0.157,0.44,0.56,-0.226,0.781,0.622,-0.588,0.421,0.626,-0.673,0.795,0.672,-0.704,0.404,0.655,-0.766,0.77,0.662,-0.742,0.429,0.644,-0.805,0.756,0.65,-0.626
hello,0.563,0.29,-0.207,0.701,0.419,-0.007,0.487,0.416,0.007,0.762,0.554,-0.164,0.44,0.561,-0.224,0.781,0.621,-0.573,0.421,0.624,-0.66,0.796,0.67,-0.683,0.403,0.653,-0.75,0.771,0.659,-0.726,0.427,0.642,-0.784,0.756,0.647,-0.607
hello,0.563,0.289,-0.186,0.702,0.419,-0.007,0.487,0.417,0.007,0.762,0.554,-0.17,0.439,0.557,-0.219,0.781,0.619,-0.574,0.419,0.618,-0.634,0.796,0.668,-0.682,0.4,0.65,-0.72,0.771,0.658,-0.717,0.427,0.641,-0.748,0.756,0.646,-0.606
hello,0.563,0.289,-0.172,0.702,0.419,-0.007,0.487,0.417,0.02,0.762,0.554,-0.182,0.438,0.557,-0.197,0.781,0.616,-0.611,0.414,0.615,-0.612,0.795,0.662,-0.716,0.391,0.651,-0.698,0.77,0.652,-0.751,0.422,0.644,-0.726,0.755,0.64,-0.637
hello,0.563,0.289,-0.18,0.702,0.419,-0.001,0.487,0.417,0.024,0.762,0.554,-0.183,0.437,0.558,-0.21,0.78,0.616,-0.633,0.412,0.615,-0.62,0.795,0.661,-0.74,0.389,0.652,-0.725,0.769,0.651,-0.776,0.42,0.644,-0.767,0.755,0.639,-0.659
hello,0.563,0.289,-0.185,0.702,0.419,-0.001,0.487,0.418,0.025,0.762,0.553,-0.205,0.438,0.558,-0.212,0.78,0.616,-0.675,0.412,0.616,-0.625,0.795,0.661,-0.784,0.388,0.652,-0.733,0.769,0.651,-0.819,0.419,0.644,-0.781,0.755,0.639,-0.7
hello,0.563,0.289,-0.179,0.702,0.419,-0.004,0.487,0.418,0.022,0.762,0.552,-0.204,0.439,0.559,-0.212,0.78,0.615,-0.654,0.412,0.617,-0.637,0.794,0.662,-0.756,0.389,0.652,-0.731,0.769,0.653,-0.783,0.419,0.644,-0.766,0.754,0.641,-0.675
hello,0.563,0.289,-0.182,0.702,0.419,-0.012,0.487,0.418,0.021,0.763,0.552,-0.214,0.439,0.559,-0.211,0.78,0.614,-0.647,0.411,0.616,-0.641,0.795,0.663,-0.75,0.386,0.651,-0.731,0.769,0.654,-0.781,0.417,0.643,-0.762,0.754,0.642,-0.67
hello,0.563,0.289,-0.189,0.703,0.419,-0.014,0.487,0.418,0.02,0.763,0.552,-0.219,0.439,0.56,-0.214,0.781,0.613,-0.666,0.41,0.615,-0.646,0.795,0.663,-0.772,0.385,0.65,-0.739,0.768,0.654,-0.806,0.416,0.642,-0.773,0.754,0.643,-0.691
hello,0.563,0.289,-0.195,0.703,0.419,-0.016,0.487,0.418,0.02,0.763,0.551,-0.227,0.439,0.56,-0.214,0.781,0.613,-0.687,0.409,0.614,-0.648,0.795,0.664,-0.795,0.383,0.65,-0.741,0.768,0.655,-0.829,0.415,0.642,-0.777,0.754,0.644,-0.712
hello,0.562,0.289,-0.197,0.703,0.419,-0.018,0.487,0.418,0.021,0.763,0.551,-0.231,0.439,0.559,-0.214,0.781,0.613,-0.688,0.408,0.614,-0.649,0.795,0.665,-0.795,0.381,0.649,-0.742,0.768,0.656,-0.828,0.414,0.641,-0.778,0.754,0.644,-0.712
hello,0.562,0.289,-0.22,0.703,0.419,-0.025,0.488,0.418,0.016,0.763,0.551,-0.251,0.442,0.559,-0.22,0.781,0.614,-0.742,0.408,0.614,-0.681,0.795,0.665,-0.856,0.382,0.649,-0.777,0.768,0.657,-0.893,0.413,0.642,-0.813,0.754,0.645,-0.769
happy,0.569,0.275,-0.663,0.715,0.433,-0.343,0.492,0.435,-0.379,0.757,0.682,-0.229,0.466,0.702,-0.346,0.755,0.912,-0.38,0.465,0.921,-0.547,0.776,0.971,-0.439,0.454,0.984,-0.607,0.744,0.973,-0.483,0.482,0.986,-0.668,0.731,0.956,-0.4
happy,0.571,0.28,-0.589,0.715,0.432,-0.283,0.492,0.435,-0.313,0.756,0.677,-0.161,0.466,0.699,-0.274,0.755,0.91,-0.305,0.465,0.921,-0.466,0.776,0.97,-0.358,0.454,0.984,-0.519,0.744,0.973,-0.406,0.482,0.986,-0.583,0.731,0.956,-0.326
happy,0.573,0.282,-0.564,0.715,0.431,-0.259,0.492,0.435,-0.291,0.756,0.674,-0.134,0.466,0.696,-0.255,0.755,0.909,-0.276,0.465,0.921,-0.449,0.776,0.969,-0.328,0.456,0.984,-0.502,0.744,0.973,-0.377,0.482,0.985,-0.567,0.732,0.956,-0.297
happy,0.573,0.282,-0.564,0.714,0.43,-0.232,0.492,0.435,-0.306,0.756,0.674,-0.108,0.466,0.696,-0.264,0.755,0.908,-0.278,0.465,0.92,-0.444,0.776,0.969,-0.331,0.456,0.983,-0.498,0.745,0.973,-0.383,0.482,0.985,-0.562,0.733,0.956,-0.301
happy,0.573,0.282,-0.569,0.714,0.43,-0.227,0.492,0.435,-0.31,0.756,0.674,-0.099,0.466,0.696,-0.262,0.755,0.908,-0.275,0.465,0.919,-0.442,0.776,0.969,-0.329,0.456,0.982,-0.497,0.745,0.973,-0.382,0.482,0.984,-0.56,0.733,0.956,-0.299
happy,0.573,0.282,-0.568,0.714,0.43,-0.233,0.492,0.435,-0.301,0.756,0.674,-0.101,0.466,0.696,-0.251,0.755,0.908,-0.264,0.465,0.918,-0.435,0.776,0.969,-0.318,0.457,0.981,-0.491,0.744,0.974,-0.37,0.482,0.983,-0.555,0.733,0.956,-0.287
happy,0.573,0.282,-0.526,0.714,0.429,-0.21,0.492,0.435,-0.248,0.756,0.674,-0.081,0.466,0.696,-0.201,0.755,0.909,-0.236,0.465,0.917,-0.398,0.776,0.97,-0.289,0.457,0.98,-0.452,0.744,0.975,-0.339,0.482,0.982,-0.517,0.733,0.957,-0.258
happy,0.573,0.282,-0.506,0.714,0.429,-0.194,0.492,0.435,-0.256,0.756,0.676,-0.069,0.465,0.697,-0.216,0.754,0.909,-0.227,0.465,0.916,-0.403,0.774,0.97,-0.281,0.456,0.979,-0.458,0.743,0.976,-0.331,0.482,0.981,-0.522,0.733,0.958,-0.25
happy,0.573,0.281,-0.529,0.714,0.429,-0.216,0.492,0.435,-0.263,0.756,0.678,-0.088,0.465,0.697,-0.228,0.753,0.91,-0.228,0.465,0.916,-0.417,0.773,0.971,-0.278,0.456,0.978,-0.471,0.741,0.977,-0.329,0.481,0.981,-0.532,0.732,0.958,-0.25
happy,0.573,0.281,-0.54,0.714,0.43,-0.221,0.492,0.435,-0.294,0.756,0.68,-0.092,0.465,0.697,-0.245,0.752,0.91,-0.245,0.465,0.916,-0.428,0.772,0.972,-0.297,0.456,0.978,-0.482,0.74,0.978,-0.348,0.481,0.981,-0.544,0.731,0.959,-0.267
happy,0.573,0.281,-0.547,0.714,0.43,-0.21,0.492,0.435,-0.296,0.756,0.682,-0.092,0.465,0.698,-0.25,0.751,0.911,-0.267,0.465,0.916,-0.432,0.772,0.972,-0.327,0.456,0.978,-0.487,0.74,0.978,-0.382,0.481,0.981,-0.55,0.73,0.959,-0.293
happy,0.573,0.281,-0.49,0.712,0.43,-0.206,0.492,0.434,-0.246,0.757,0.678,-0.082,0.46,0.682,-0.201,0.753,0.901,-0.214,0.465,0.874,-0.367,0.771,0.966,-0.267,0.459,0.941,-0.422,0.738,0.966,-0.319,0.482,0.935,-0.472,0.73,0.944,-0.236
happy,0.572,0.281,-0.413,0.712,0.429,-0.135,0.492,0.433,-0.187,0.758,0.672,-0.019,0.452,0.661,-0.211,0.753,0.886,-0.158,0.464,0.827,-0.462,0.762,0.955,-0.21,0.465,0.894,-0.527,0.732,0.95,-0.26,0.484,0.871,-0.566,0.726,0.929,-0.178
happy,0.572,0.281,-0.403,0.71,0.429,-0.077,0.492,0.433,-0.194,0.759,0.661,0.033,0.447,0.649,-0.281,0.754,0.869,-0.15,0.468,0.776,-0.643,0.755,0.941,-0.21,0.478,0.818,-0.721,0.728,0.931,-0.256,0.494,0.788,-0.757,0.724,0.912,-0.17
happy,0.57,0.282,-0.361,0.706,0.428,-0.07,0.489,0.432,-0.08,0.771,0.631,-0.01,0.437,0.652,-0.297,0.751,0.815,-0.165,0.48,0.579,-0.785,0.733,0.879,-0.224,0.507,0.556,-0.875,0.714,0.849,-0.29,0.511,0.522,-0.869,0.716,0.831,-0.205
happy,0.568,0.284,-0.373,0.705,0.428,-0.098,0.489,0.432,-0.08,0.78,0.629,-0.039,0.433,0.656,-0.312,0.742,0.793,-0.234,0.482,0.54,-0.799,0.721,0.855,-0.282,0.513,0.518,-0.886,0.703,0.823,-0.301,0.517,0.486,-0.871,0.706,0.808,-0.241
happy,0.567,0.285,-0.357,0.703,0.427,-0.093,0.488,0.432,-0.065,0.785,0.63,-0.054,0.432,0.661,-0.319,0.733,0.775,-0.237,0.484,0.522,-0.813,0.709,0.819,-0.282,0.517,0.497,-0.9,0.693,0.79,-0.3,0.519,0.464,-0.882,0.697,0.777,-0.242
happy,0.566,0.285,-0.338,0.701,0.425,-0.078,0.487,0.431,-0.072,0.788,0.622,-0.055,0.431,0.664,-0.337,0.719,0.753,-0.209,0.485,0.516,-0.792,0.697,0.788,-0.245,0.519,0.492,-0.873,0.682,0.761,-0.245,0.521,0.46,-0.849,0.685,0.75,-0.204
happy,0.566,0.284,-0.305,0.701,0.422,-0.074,0.486,0.427,-0.051,0.79,0.623,-0.253,0.432,0.653,-0.334,0.701,0.597,-0.633,0.497,0.561,-0.82,0.674,0.596,-0.711,0.531,0.556,-0.899,0.663,0.567,-0.682,0.533,0.521,-0.875,0.666,0.565,-0.626
happy,0.566,0.283,-0.278,0.701,0.421,-0.057,0.486,0.425,-0.055,0.794,0.626,-0.26,0.431,0.65,-0.323,0.691,0.549,-0.625,0.506,0.581,-0.743,0.668,0.526,-0.698,0.539,0.585,-0.819,0.655,0.498,-0.662,0.541,0.552,-0.871,0.656,0.506,-0.616
happy,0.566,0.283,-0.277,0.701,0.421,-0.036,0.485,0.423,-0.049,0.797,0.628,-0.229,0.431,0.65,-0.277,0.693,0.509,-0.563,0.506,0.605,-0.662,0.671,0.486,-0.633,0.538,0.616,-0.721,0.658,0.461,-0.589,0.543,0.584,-0.707,0.658,0.466,-0.55
happy,0.567,0.282,-0.273,0.7,0.421,-0.03,0.485,0.423,-0.044,0.799,0.629,-0.213,0.428,0.648,-0.243,0.697,0.492,-0.536,0.504,0.618,-0.608,0.675,0.467,-0.605,0.536,0.63,-0.665,0.663,0.444,-0.56,0.541,0.598,-0.647,0.663,0.45,-0.521
happy,0.567,0.282,-0.277,0.7,0.42,-0.036,0.485,0.422,-0.043,0.802,0.629,-0.236,0.427,0.649,-0.242,0.697,0.493,-0.576,0.502,0.621,-0.607,0.672,0.468,-0.644,0.531,0.633,-0.664,0.661,0.445,-0.594,0.539,0.598,-0.644,0.662,0.45,-0.559
happy,0.567,0.282,-0.268,0.7,0.419,-0.031,0.485,0.421,-0.037,0.803,0.628,-0.231,0.424,0.648,-0.246,0.695,0.505,-0.564,0.499,0.609,-0.613,0.669,0.486,-0.63,0.529,0.623,-0.67,0.658,0.458,-0.582,0.538,0.585,-0.648,0.66,0.461,-0.548
happy,0.567,0.282,-0.289,0.7,0.415,-0.041,0.485,0.418,-0.051,0.802,0.622,-0.294,0.424,0.639,-0.324,0.693,0.521,-0.695,0.496,0.587,-0.752,0.666,0.508,-0.774,0.528,0.597,-0.82,0.655,0.476,-0.73,0.537,0.557,-0.791,0.657,0.477,-0.683
happy,0.565,0.282,-0.293,0.699,0.412,-0.074,0.485,0.418,-0.057,0.801,0.615,-0.319,0.423,0.639,-0.35,0.69,0.536,-0.702,0.496,0.555,-0.828,0.661,0.528,-0.778,0.527,0.554,-0.906,0.651,0.497,-0.74,0.536,0.522,-0.876,0.653,0.498,-0.69
